SONG_ID,SONG_NAME,DURATION_MS,POPULARITY,URL,SONG_ADDED,ALBUM_ID,ARTIST_ID
6X6m4xmdFcz31p1h7Qg68c,EL LOKERON,145473,88,https://open.spotify.com/track/6X6m4xmdFcz31p1h7Qg68c,2024-10-11,27GWSFRITD8JJcSGMgEfTN,5eumcnUkdmGvkvcsx1WFNG
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,172533,90,https://open.spotify.com/track/3Vr3zh0r7ALn8VLqCiRR10,2024-10-11,3VNxRarx9HUI5w7DHv0TBj,3bO19AOone0ubCsfDXDtYt
5G2f63n7IPVPPjfNIGih7Q,Taste,157279,95,https://open.spotify.com/track/5G2f63n7IPVPPjfNIGih7Q,2024-10-11,3iPSVi54hsacKKl1xIR2eH,74KM79TiuVKeVCqs8QtB0B
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,190427,92,https://open.spotify.com/track/2PnlsTsOTLE5jnBnNe2K0A,2024-10-11,6W0Gabv5f3ugnckc6YgfJQ,6XyY86QOPPrYVGvF9ch6wz
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),171291,86,https://open.spotify.com/track/5fZJQrFKWQLb7FpJXZ1g7K,2024-10-11,0DLvFVIfwt3OHdK9kGeEM3,3y2cIKLjiOlp1Np37WiUdH
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,224022,87,https://open.spotify.com/track/0Sr7ssScx54yxdM2ols7nW,2024-10-11,3C5uwdRE5QRoXSGPPxpDd4,"3E12tRURRvPfHz0hAMCFYc, 54seKvtsZauR1iauN0ptpo"
3fgehc497TFqKH1zBL2YNK,Heavy Is the Crown,167012,88,https://open.spotify.com/track/3fgehc497TFqKH1zBL2YNK,2024-10-11,3Su6Sgi0YjcUFuCzjLKYYq,6XyY86QOPPrYVGvF9ch6wz
7bywjHOc0wSjGGbj04XbVi,LUNA,196800,89,https://open.spotify.com/track/7bywjHOc0wSjGGbj04XbVi,2024-10-11,0lgs2Sa82lyX89nBUWyUy6,"2LRoIwlKmHjgvigdNGBHNo, 7jAs1uPnpfNmT6e5qtEPxq"
2aYZaN5SmkRDLsrrV8GkBQ,LA PATRULLA,130614,87,https://open.spotify.com/track/2aYZaN5SmkRDLsrrV8GkBQ,2024-10-11,5kvw1bAOvzJdNi4hdgfaNf,"12GqGscKJx3aE4t07u7eVZ, 6pV5zH2LzjOUHaAvENdMMa"
6PhRhocBXP4y7NpciGmzra,Después De La 1,177600,87,https://open.spotify.com/track/6PhRhocBXP4y7NpciGmzra,2024-10-11,2lIzIH2mQQ0ItgkJKefQMp,"1Yj5Xey7kTwvZla8sqdsdE, 7CvTknweLr9feJtRGrpDBy, 6uzHLlGqFKaXYOnZyYmXYg"
1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,178426,90,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,2024-10-11,1NAmidJlEaVgA3MpcPFYGq,06HL4z0CvFAxyc27GXpf02
2HRqTpkrJO5ggZyyK6NPWz,Espresso,175459,87,https://open.spotify.com/track/2HRqTpkrJO5ggZyyK6NPWz,2024-10-11,3iPSVi54hsacKKl1xIR2eH,74KM79TiuVKeVCqs8QtB0B
7tI8dRuH2Yc6RuoTjxo4dU,Who,170887,93,https://open.spotify.com/track/7tI8dRuH2Yc6RuoTjxo4dU,2024-10-11,15XcLhiVMlSOipUddTNDnr,1oSPZhvZMIrWW5I41kPkkY
0IsIY8pfu1yaGkPUD7pkDx,Guess featuring billie eilish,143330,70,https://open.spotify.com/track/0IsIY8pfu1yaGkPUD7pkDx,2024-10-11,36P07bti6xD99o7S1acmin,"25uiPmTg16RbhZWAqwLBy5, 6qqNVTkY8uBg9cP3Jd7DAH"
0io16MKpbeDIdYzmGpQaES,Embrace It,104418,88,https://open.spotify.com/track/0io16MKpbeDIdYzmGpQaES,2024-10-11,0mV9Pfr1GfoZLkp1EAau9P,5HK6QtizXJzCmoYTkvFRik
5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,153928,87,https://open.spotify.com/track/5lKFO0PrOC9jmOlPEdjHsL,2024-10-11,27GWSFRITD8JJcSGMgEfTN,"5eumcnUkdmGvkvcsx1WFNG, 12GqGscKJx3aE4t07u7eVZ"
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,195824,95,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,2024-10-11,5ylbxH7EqpsmHZCRuiYewS,790FomKkXshlbRYZFtlgla
